DOI,Publication.Year,Author,Publication.Title
10.3390/su15064725,2023,"Gino, Vinícius L S; Negri, Rogério G; Souza, Felipe N; Silva, Erivaldo A; Bressane, Adriano; Mendes, Tatiana S G; Wallace Casaca",Sustainability
10.3390/su142416687,2022,"Aja, Daniel; Miyittah, Michael K; Angnuureng, Donatus Bapentire",Sustainability
10.3390/en15166090,2022,"Dai, Menglin; Ward, Wil O C; Arbabi, Hadi; Danielle Densley Tingley; Mayfield, Martin",Energies
10.3390/rs11050601,2019,"Pareeth, Sajid; Karimi, Poolad; Shafiei, Mojtaba; De Fraiture, Charlotte",Remote Sensing
10.3390/rs13071231,2021,"Agrillo, Emiliano; Filipponi, Federico; Pezzarossa, Alice; Casella, Laura; Smiraglia, Daniela; Orasi, Arianna; Attorre, Fabio; Taramelli, Andrea; Coops, Nicholas",Remote Sensing
10.3390/rs13091666,2021,"Mashaba-Munghemezulu, Zinhle; Chirima, George Johannes; Munghemezulu, Cilence; Goldblatt, Ran",Remote Sensing
10.3390/ijgi7110448,2018,"Chew, Robert; Jones, Kasey; Unangst, Jennifer; Cajka, James; Allpress, Justine; Amer, Safaa; Krotki, Karol",ISPRS International Journal of Geo-Information
10.3390/drones3030068,2019,"Mohammadi, Mohammad E.; Watson, Daniel P.; Wood, Richard L.",Drones
10.3390/agronomy13010165,2023,"Ismaili, Maryem; Krimissa, Samira; Namous, Mustapha; Htitiou, Abdelaziz; Abdelrahman, Kamal; Fnais, Mohammed S.; Lhissou, Rachid; Eloudi, Hasna; Faouzi, Elhousna; Benabdelouahab, Tarik",Agronomy
10.3390/rs15102522,2023,"J Camilo Fagua; Rodríguez-Buriticá, Susana; Jantz, Patrick",Remote Sensing
10.1016/j.ifacol.2019.12.511,2019,"Tao, Yanqiu; You, Fengqi","6th IFAC Conference on Sensing, Control and Automation Technologies for Agriculture AGRICONTROL 2019"
10.1016/j.rsase.2020.100287,2020,"Shaharum, Nur Shafira Nisa; Shafri, Helmi Zulhaidi Mohd; Ghani, Wan Azlina Wan Ab Karim; Samsatli, Sheila; Al-Habshi, Mohammed Mustafa Abdulrahman; Yusuf, Badronnisa",Remote Sensing Applications: Society and Environment
10.1016/j.compenvurbsys.2018.01.004,2018,"Jochem, Warren C.; Bird, Tomas J.; Tatem, Andrew J.","Computers, Environment and Urban Systems"
10.1016/j.egyr.2022.03.039,2022,"Xia, Zilong; Li, Yingjie; Chen, Ruishan; Sengupta, Dhritiraj; Guo, Xiaona; Xiong, Bo; Niu, Yilong",Energy Reports
10.1016/j.jag.2022.102804,2022,"Li, Hao; Zech, Johannes; Hong, Danfeng; Ghamisi, Pedram; Schultz, Michael; Zipf, Alexander",International Journal of Applied Earth Observation and Geoinformation
10.1016/j.scib.2023.05.004,2023,"Jia, Mingming; Wang, Zongming; Mao, Dehua; Ren, Chunying; Song, Kaishan; Zhao, Chuanpeng; Wang, Chao; Xiao, Xiangming; Wang, Yeqiao",Science Bulletin
10.1016/j.rse.2021.112615,2021,"Arvor, Damien; Betbeder, Julie; Daher, Felipe R.G.; Blossier, Tim; Le Roux, Renan; Corgne, Samuel; Corpetti, Thomas; de Freitas Silgueiro, Vinicius; Silva Junior, Carlos Antonio da",Remote Sensing of Environment
10.1016/j.rse.2023.113818,2023,"Chakraborty, Srija; Stokes, Eleanor C.",Remote Sensing of Environment
10.1016/j.eneco.2021.105510,2021,"Wang, Hanjie; Maruejols, Lucie; Yu, Xiaohua",Energy Economics
10.1016/j.jag.2022.103100,2022,"Wang, Zhihua; Zhang, Junyao; Yang, Xiaomei; Huang, Chong; Su, Fenzhen; Liu, Xiaoliang; Liu, Yueming; Zhang, Yuanzhi",International Journal of Applied Earth Observation and Geoinformation
10.1016/j.scitotenv.2020.139197,2020,"Saha, Sunil; Saha, Mantosh; Mukherjee, Kaustuv; Arabameri, Alireza; Ngo, Phuong Thao Thi; Paul, Gopal Chandra",Science of The Total Environment
10.1016/j.rsase.2023.100924,2023,"Priyanka; Rajat; Avtar, Ram; Malik, Rashmi; Musthafa, M.; Rathore, Virendra S.; Kumar, Praveen; Singh, Gulab",Remote Sensing Applications: Society and Environment
10.1016/j.rse.2023.113793,2023,"Wang, Ming; Mao, Dehua; Wang, Yeqiao; Xiao, Xiangming; Xiang, Hengxing; Feng, Kaidong; Luo, Ling; Jia, Mingming; Song, Kaishan; Wang, Zongming",Remote Sensing of Environment
10.1016/j.ejrs.2023.05.003,2023,"Al-Dousari, Ahmad E.; Mishra, Ashish; Singh, S.",The Egyptian Journal of Remote Sensing and Space Science
10.1016/j.renene.2022.04.113,2022,"Moraga, J.; Duzgun, H.S.; Cavur, M.; Soydan, H.",Renewable Energy
10.1016/j.jia.2022.10.008,2023,"TAO, Jian-bin; ZHANG, Xin-yue; WU, Qi-fan; WANG, Yun",Journal of Integrative Agriculture
10.1016/j.marpolbul.2022.113901,2022,"Peng, Ya; Sengupta, Dhritiraj; Duan, Yuanqiang; Chen, Chunpeng; Tian, Bo",Marine Pollution Bulletin
10.1016/j.isprsjprs.2023.03.017,2023,"Solórzano, Jonathan V.; Mas, Jean François; Gallardo-Cruz, J. Alberto; Gao, Yan; Fernández-Montes de Oca, Ana",ISPRS Journal of Photogrammetry and Remote Sensing
10.1016/j.jag.2020.102176,2020,"Xiao, Chiwei; Li, Peng; Feng, Zhiming; Liu, Yiyuan; Zhang, Xianzhou",International Journal of Applied Earth Observation and Geoinformation
10.1016/j.procs.2021.12.201,2022,"Suryono, Hady; Kuswanto, Heri; Iriawan, Nur",Sixth Information Systems International Conference (ISICO 2021)
10.1016/j.iswcr.2023.11.004,2023,"Shen, Shengyu; Chen, Jiasheng; Cheng, Dongbing; Liu, Honghu; Zhang, Tong",International Soil and Water Conservation Research
10.1016/j.jclepro.2023.137367,2023,"He, Tingting; Zhang, Maoxin; Xiao, Wu; Zhai, Ge; Wang, Yan; Guo, Andong; Wu, Cifang",Journal of Cleaner Production
10.1016/j.infrared.2019.103152,2020,"Li, Zhengtao; Zhou, Gang; Song, Qiong",Infrared Physics & Technology
10.1080/17538947.2023.2261901,2023,"Chen, Zhe; Liang, Yuan; Yu, Zhengbo; Xu, Ke; Ji, Qingyun; Zhang, Xueqi; Zhang, Quanping; Cui, Zijia; He, Ziqiong; Chang, Ruichun; Sun, Zhongchang; Xiao, Keyan; Guo, Huadong",International Journal of Digital Earth
10.1080/17538947.2023.2207839,2023,"Zhang, Peng; Lin, Cong; Guo, Shanchuan; Zhang, Wei; Fang, Hong; Du, Peijun",International Journal of Digital Earth
10.1080/17538947.2022.2130461,2022,"Owers, Christopher J.; Lucas, Richard M.; Clewley, Daniel; Tissott, Belle; Chua, Sean M. T.; Hunt, Gabrielle; Mueller, Norman; Planque, Carole; Punalekar, Suvarna M.; Bunting, Pete; Tan, Peter; Metternicht, Graciela",International Journal of Digital Earth
10.1080/15481603.2022.2115589,2022,"Tang, Yunwei; Qiu, Fang; Wang, Bangjin; Wu, Di; Jing, Linhai; Sun, Zhongchang",GIScience & Remote Sensing
10.1109/JSTARS.2020.3001980,2020,"Nazir, U; Mian, UK; Sohail, MU; Taj, M; Uppal, M",IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING
10.3390/rs14051226,2022,"Fallatah, Ahmad; Jones, Simon; Wallace, Luke; Mitchell, David",Remote Sensing
10.3390/rs12233986,2020,"Hsu, Astrid J.; Kumagai, Joy; Favoretto, Fabio; Dorian, John; Guerrero Martinez, Benigno; Aburto-Oropeza, Octavio",Remote Sensing